DataSet/Point,Distance (µm),Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O ,Total,Al2O3,SiO2,K2O,P2O5,CaO,TiO2,MnO,BaO,ThO2,UO2,FeO,Total,Al,Si,K ,P ,Ca,Ti,Mn,Ba,Th,U ,Fe,O , X , Y , Z , Beam X , Beam Y ,Comment,Distance (?),Mean Z,Point#,Date
2 / 31 . ,60,0.050148,0.224559,0.000571,0.003373,0.00001,0.00001,0.014515,0.00001,0.00001,0.075389,65.89889,19.19908,85.46656,0.07775,0.334472,0.000611,0.004555,0.00001,0.000009,0.011052,0.000003,0.000002,0.013249,49.36172,50.19656,100,0.094754,0.480415,0.000688,0.007728,0.000014,0.000017,0.018742,0.000011,0.000011,0.085525,84.77866,85.46656,120,105,145,219,,,289,,,312,1242,,-16671.7,-22760,47, , ,H-24B-Profile2,60,18.78122,142,"Tuesday, April 18, 2023 1:55:37 AM"
2 / 32 . ,62,0.048749,0.068172,0.001549,0.001179,0.00001,0.00001,0.005839,0.020062,0.00001,0.073446,71.73362,20.68819,92.64083,0.069965,0.093995,0.001534,0.001474,0.00001,0.000008,0.004116,0.005657,0.000002,0.011949,49.7401,50.07119,100,0.092111,0.145845,0.001866,0.002702,0.000014,0.000017,0.00754,0.022399,0.000011,0.08332,92.285,92.64083,117,102,143,199,,,314,571,,472,1308,,-16671.7,-22762,47, , ,H-24B-Profile2,62,20.40243,143,"Tuesday, April 18, 2023 2:00:25 AM"
2 / 33 . ,64,0.05534,0.232796,0.004168,0.007597,0.00001,0.00001,0.005549,0.026607,0.00001,0.053435,68.37997,19.92763,88.69312,0.082666,0.334078,0.004296,0.009885,0.00001,0.000008,0.004071,0.007809,0.000002,0.009048,49.34955,50.19857,100,0.104564,0.498038,0.00502,0.017407,0.000014,0.000017,0.007165,0.029707,0.000011,0.060618,87.97056,88.69312,120,105,157,234,,,304,595,,516,1258,,-16671.7,-22764,47, , ,H-24B-Profile2,64,19.48018,144,"Tuesday, April 18, 2023 2:05:14 AM"
2 / 34 . ,66,0.068159,6.102037,0.019664,0.00001,0.00148,0.00001,0.00374,0.0081,0.00001,0.037611,62.44777,24.91589,93.60448,0.087226,7.502137,0.017366,0.000011,0.001275,0.000007,0.002351,0.002037,0.000001,0.005456,38.61086,53.77128,100,0.128785,13.05454,0.023687,0.000023,0.00207,0.000017,0.004829,0.009044,0.000011,0.042667,80.33881,93.60448,115,133,153,,218,,303,598,,509,1225,,-16671.8,-22766,47, , ,H-24B-Profile2,66,19.13696,145,"Tuesday, April 18, 2023 2:10:02 AM"
2 / 35 . ,68,0.078698,28.98998,0.023464,0.008269,0.00001,0.000912,0.00616,0.012229,0.017555,0.00001,30.94794,41.98861,102.0738,0.069203,24.49036,0.014239,0.006334,0.000006,0.000452,0.00266,0.002113,0.001795,0.000001,13.14805,62.26479,100,0.148699,62.02039,0.028266,0.018948,0.000014,0.001521,0.007954,0.013653,0.019975,0.000011,39.8144,102.0738,100,195,154,250,,194,294,613,418,,943,,-16671.8,-22768,47, , ,H-24B-Profile2,68,15.50448,146,"Tuesday, April 18, 2023 2:14:51 AM"
2 / 36 . ,70,0.070567,15.97243,0.012627,0.00001,0.007319,0.006988,0.000723,0.016141,0.03575,0.020789,47.60521,31.92003,95.66859,0.076478,16.62994,0.009444,0.000009,0.005339,0.004266,0.000385,0.003437,0.004505,0.002554,24.92624,58.33739,99.99999,0.133335,34.17099,0.015211,0.000023,0.01024,0.011657,0.000934,0.018022,0.04068,0.023584,61.24392,95.66859,107,162,157,,223,195,306,634,464,500,1133,,-16671.8,-22770,47, , ,H-24B-Profile2,70,17.24219,147,"Tuesday, April 18, 2023 2:19:40 AM"
2 / 37 . ,72,0.04341,0.619225,0.000492,0.001118,0.00001,0.00001,0.00001,0.00001,0.008876,0.016122,69.39156,20.6295,90.71033,0.062953,0.862697,0.000492,0.001413,0.00001,0.000008,0.000007,0.000003,0.001497,0.00265,48.61817,50.4501,100,0.082023,1.324754,0.000593,0.002563,0.000014,0.000017,0.000013,0.000011,0.0101,0.01829,89.27196,90.71033,112,103,155,233,,,,,488,538,1289,,-16671.8,-22772,47, , ,H-24B-Profile2,72,19.80759,148,"Tuesday, April 18, 2023 2:24:30 AM"
2 / 38 . ,74,0.074813,0.056375,0.00001,0.006706,0.00001,0.006273,0.006321,0.000976,0.00001,0.063167,69.59594,20.09304,89.90364,0.110577,0.08005,0.00001,0.008634,0.00001,0.005223,0.004589,0.000283,0.000002,0.010583,49.69799,50.08205,99.99999,0.141359,0.120607,0.000012,0.015367,0.000014,0.010464,0.008162,0.00109,0.000011,0.07166,89.5349,89.90364,111,98,,242,,193,313,622,,527,1261,,-16671.9,-22774,47, , ,H-24B-Profile2,74,19.78264,149,"Tuesday, April 18, 2023 2:29:19 AM"
2 / 39 . ,76,0.038745,0.019845,0.00001,0.008201,0.00001,0.003197,0.005422,0.00001,0.00001,0.046696,68.86324,19.80671,88.7921,0.058048,0.028564,0.00001,0.010703,0.00001,0.002698,0.00399,0.000003,0.000002,0.00793,49.84591,50.04213,100,0.073208,0.042457,0.000012,0.018792,0.000014,0.005333,0.007002,0.000011,0.000011,0.052974,88.59229,88.7921,112,101,,248,,195,305,,,502,1239,,-16671.9,-22776,47, , ,H-24B-Profile2,76.01,19.54306,150,"Tuesday, April 18, 2023 2:34:09 AM"
2 / 40 . ,78,0.040448,0.298849,0.00001,0.011883,0.017962,0.00001,0.019435,0.012728,0.006918,0.043025,68.34696,19.99401,88.79224,0.060276,0.427838,0.00001,0.015426,0.018019,0.000008,0.014224,0.003726,0.001199,0.007268,49.20722,50.24479,100,0.076427,0.63935,0.000012,0.02723,0.025132,0.000017,0.025095,0.01421,0.007872,0.04881,87.92809,88.79224,114,99,,241,228,,291,617,457,500,1259,,-16671.9,-22778,47, , ,H-24B-Profile2,78.01,19.48,151,"Tuesday, April 18, 2023 2:38:57 AM"
2 / 41 . ,80,0.081795,0.043521,0.00336,0.008091,0.00001,0.005875,0.00001,0.006179,0.00001,0.062393,71.019,20.49318,91.72343,0.118518,0.060582,0.00336,0.010213,0.00001,0.004795,0.000007,0.001759,0.000002,0.010248,49.71624,50.07427,100,0.154552,0.093109,0.004047,0.018541,0.000014,0.009799,0.000013,0.006899,0.000011,0.070781,91.36566,91.72343,117,102,159,233,,197,,623,,512,1310,,-16671.9,-22780,47, , ,H-24B-Profile2,80.01,20.18514,152,"Tuesday, April 18, 2023 2:43:47 AM"
2 / 42 . ,82,0.087971,0.024045,0.00001,0.003384,0.00001,0.00001,0.012918,0.000325,0.00001,0.042882,70.29292,20.25823,90.72271,0.128899,0.033847,0.00001,0.004319,0.00001,0.000008,0.009296,0.000094,0.000002,0.007122,49.76045,50.05595,100,0.166222,0.051442,0.000012,0.007754,0.000014,0.000017,0.01668,0.000363,0.000011,0.048647,90.43155,90.72271,114,103,,239,,,300,617,,530,1279,,-16671.9,-22782,47, , ,H-24B-Profile2,82.01,19.95501,153,"Tuesday, April 18, 2023 2:48:36 AM"
2 / 43 . ,84,0.103105,0.024947,0.00001,0.013459,0.00001,0.002334,0.00001,0.00001,0.004135,0.066816,68.96614,19.90716,89.08813,0.153799,0.03575,0.00001,0.017489,0.00001,0.001961,0.000007,0.000003,0.000717,0.011298,49.70253,50.07643,100,0.194816,0.05337,0.000012,0.030841,0.000014,0.003894,0.000013,0.000011,0.004705,0.075799,88.72466,89.08813,115,101,,233,,191,,,485,518,1242,,-16672,-22784,47, , ,H-24B-Profile2,84.01,19.6084,154,"Tuesday, April 18, 2023 2:53:26 AM"
2 / 44 . ,86,0.071141,0.027837,0.001554,0.003142,0.000975,0.00001,0.00001,0.00001,0.00001,0.057028,69.95385,20.14894,90.2645,0.104798,0.039395,0.00158,0.004032,0.000967,0.000008,0.000007,0.000003,0.000002,0.009523,49.78639,50.05329,100,0.13442,0.059553,0.001872,0.0072,0.001364,0.000017,0.000013,0.000011,0.000011,0.064695,89.99535,90.2645,106,98,161,257,228,,,,,508,1293,,-16672,-22786,47, , ,H-24B-Profile2,86.01,19.86651,155,"Tuesday, April 18, 2023 2:58:16 AM"
2 / 45 . ,88,0.054218,0.242175,0.00001,0.012533,0.00001,0.00001,0.00001,0.00001,0.00001,0.049485,67.40528,19.65835,87.4221,0.082123,0.352402,0.00001,0.016537,0.00001,0.000009,0.000007,0.000003,0.000002,0.008496,49.32701,50.21339,100,0.102444,0.518103,0.000012,0.028719,0.000014,0.000017,0.000013,0.000011,0.000011,0.056138,86.71661,87.4221,117,102,,240,,,,,,463,1273,,-16672,-22788,47, , ,H-24B-Profile2,88.01,19.18642,156,"Tuesday, April 18, 2023 3:03:06 AM"
2 / 46 . ,90,0.073252,4.325788,0.004104,0.003049,0.007543,0.00001,0.00001,0.006041,0.010868,0.035393,57.80315,21.56898,83.83819,0.106866,6.06276,0.004132,0.003875,0.007408,0.000008,0.000007,0.001732,0.001844,0.005853,40.74169,53.06382,100,0.13841,9.254476,0.004944,0.006987,0.010554,0.000017,0.000013,0.006745,0.012367,0.040152,74.36353,83.83819,117,123,165,275,203,,,577,327,377,1177,,-16672,-22790,47, , ,H-24B-Profile2,90.01,17.41795,157,"Tuesday, April 18, 2023 3:07:55 AM"
2 / 47 . ,92,0.059002,6.682707,0.002465,0.001971,0.00001,0.005216,0.004499,0.00001,0.00001,0.063644,51.61129,22.46942,80.90024,0.085114,9.261263,0.002454,0.002476,0.00001,0.004238,0.003188,0.000003,0.000002,0.010407,35.97037,54.66048,100,0.111484,14.29681,0.002969,0.004516,0.000014,0.0087,0.005809,0.000011,0.000011,0.0722,66.39772,80.90024,109,130,164,274,,160,289,,,314,1111,,-16672.1,-22792,47, , ,H-24B-Profile2,92.01,16.22134,158,"Tuesday, April 18, 2023 3:12:44 AM"
